stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_timezone,wheelchair_boarding
XTS,,Toulouse - Matabiau Bus Station,"ATTENTION: the bus station is closed from 1:00 to 4:30. Substitution: bus stop Pont Matabiau 89 boulevard Pierre Sémard 31500 TOULOUSE.  GPS point: 43.61392540552035, 1.4512734381914663",43.613299,1.452226,Europe/Paris,1
ORY,,Paris-Orly Airport - Orly Parking P5,,48.730637,2.364067,Europe/Paris,1
QJZ,,Nantes - Haluchère-Batignolles,"Transport : From the city center : Take Tram 1 direction ""Beaujoire/Ranzay"", stop at ""Haluchère-Batignolles"" (18 minutes).",47.248785,-1.520898,Europe/Paris,1
QXG,,Angers - Bus Station Esplanade,,47.464769,-0.557731,Europe/Paris,1
XAS,,Amiens,Attention: Your stop is not at Amiens bus station but in Hortillons' parking (10 min from bus station) .,49.897096,2.311491,Europe/Paris,1
XBE,,Brive-la-Gaillarde (Brive Laroche Multimodal Interchange Hub),,45.148625,1.479200,Europe/Paris,1
XBS,,Bourges,,47.063820,2.368150,Europe/Paris,1
XBT,,Brest - SNCF Train Station,platform 8,48.387050,-4.483548,Europe/Paris,1
XCA,,Caen - Bus Station,,49.176438,-0.347647,Europe/Paris,1
XCF,,Clermont-Ferrand - Bus Station,"Access: Caution: From Saturday 8:00 pm to Sunday 2:00 pm the bus station is closed.The departures are made on the stop ""Salins Pasteur"" on the Boulevard Pasteur.",45.770780,3.082300,Europe/Paris,1
XDE,,Dunkirk - Pôle d'Échange Station,,51.031717,2.368469,Europe/Paris,1
XER,,Strasbourg - L'Étoile Park Bus Station,,48.574241,7.754260,Europe/Paris,1
XGE,,Grenoble - Bus Station,,45.192833,5.714294,Europe/Paris,1
XIZ,,Reims - Champagne Ardenne Train Station,"Transport:  To reach the city center: Tram B in 25 minutes, Bus, or train in 12 minutes.",49.214754,3.994568,Europe/Paris,1
XLH,,Le Havre - Bus Station,,49.492105,0.125341,Europe/Paris,1
XLS,,Limoges,,45.836153,1.268487,Europe/Paris,1
XLT,,Lorient - Échange Bus Station,,47.755408,-3.364137,Europe/Paris,1
XMS,,Le Mans - Université Bus Station,"Your stop is located at the terminal station of Tram 1, stop ""Université"". Transport : From the city center : Tram 1 direction "" Université "" (17 minutes).",48.017410,0.149440,Europe/Paris,1
XMZ,,Metz - Bus Station,"Access : If the station is closed, the departure will be in front of the station gate.",49.110633,6.183319,Europe/Paris,1
XOP,,Poitiers - Bus Station,,46.584447,0.336029,Europe/Paris,1
XOS,,Orléans - Georges Pompidou Bus Stop,"Transport : To reach your stop: Tram B direction Georges Pompidou, terminus stop (about 20 minutes from the city center)",47.896134,1.854014,Europe/Paris,1
XPD,,Paris - La Défense Jules Verne Terminal,"Access: exit 6: La Coupole. From Monday to Saturday, from 6:00 to 21:00: platforms 1 to 10, before 6:00 or after 21:00:  platforms 11-15. On Sunday, all day:  platforms 11-15 .",48.891320,2.242330,Europe/Paris,1
XQR,,Quimper - Bus Station,Boarding: BlaBlaCar buses stop at platform n° 6,47.994171,-4.090690,Europe/Paris,1
XRN,,Rouen - Avenue Champlain Bus Stop,,49.434093,1.092471,Europe/Paris,1
XSB,,Saint-Brieuc,,48.506828,-2.766448,Europe/Paris,1
XTO,,Tours - Édouard Vaillant Bus Station,,47.383496,0.702171,Europe/Paris,1
ZFJ,,Rennes - Bus Station,,48.104103,-1.669906,Europe/Paris,1
ZFQ,,Bordeaux - Belcier Bus Stop,,44.822718,-0.554691,Europe/Paris,1
XBN,,Besançon - Viotte Hub,,47.246810,6.022631,Europe/Paris,1
ZDH,,Mulhouse,,47.742183,7.341877,Europe/Paris,1
XCN,,Cannes - Place Bénidorm,"Votre arrêt est situé sur le parking, en face de l'office de tourisme.",43.570898,7.014582,Europe/Paris,1
XVS,,Vannes,,47.666422,-2.747920,Europe/Paris,1
XLR,,La Rochelle - Bus Station,,46.153044,-1.141486,Europe/Paris,1
XTR,,Troyes,,48.296203,4.065316,Europe/Paris,1
XLA,,Les Deux Alpes,,45.010446,6.124712,Europe/Paris,1
XAZ,,Alpe d'Huez,,45.089735,6.074666,Europe/Paris,1
XMO,,Moutiers,,45.486800,6.529400,Europe/Paris,1
XBM,,Bourg-Saint-Maurice,La gare routière est située à proximité de la gare SNCF.,45.619570,6.771720,Europe/Paris,1
XAI,,Aime - La Plagne,,45.554480,6.647470,Europe/Paris,1
QKU,,Cologne - Airport Bus Station,Platform 9 or 11.,50.881444,7.117081,Europe/Berlin,1
XBA,,Bayonne - Quai de Lesseps Bus Stop,Access: The bus station is 160 meters from the PONT GRENET bus stop.,43.497609,-1.479022,Europe/Paris,1
XNT,,Niort,"Transport : Bus: Stop ""Pied de Fond"" line 2 and 7. From the city center: Line 2 and 7 direction Bessines (20 minutes).",46.307555,-0.485627,Europe/Paris,1
XZN,,Avignon - Le Pontet - Le Lac Stop,Stop Le Pontet - Le Lac  Accessible by Bus lines C2 -14 - 902  opposite MATMUT (on the other side of the road),43.960626,4.855937,Europe/Paris,1
DOL,,Deauville,,49.359119,0.084067,Europe/Paris,1
DNR,,Saint-Malo,,48.650588,-2.021689,Europe/Paris,1
RYN,,Royan,Departure and arrival on platform C.,45.626108,-1.016375,Europe/Paris,1
XAX,,Parc Astérix,,49.136899,2.570402,Europe/Paris,1
PGF,,Perpignan - Bus Station,,42.694931,2.879244,Europe/Paris,1
XFJ,,Fréjus - Bus Station,,43.435580,6.737390,Europe/Paris,1
XZR,,Béziers,"From November 7, 2024, the stop will be moved to 14, Boulevard Maréchal Leclerc (“Jean Perrin” stop).",43.342575,3.238013,Europe/Paris,1
XAV,,Avranches,,48.690150,-1.369671,Europe/Paris,1
XBP,,Bordeaux Pessac,ATTENTION: Your bus stop has been moved from 07/07/2024 to 31/08/2024  Halte routière Belcier  147 rue des terres de bordes  33800 Bordeaux,44.804366,-0.632593,Europe/Paris,1
XCY,,Chambéry - Bus Station,,45.569957,5.917277,Europe/Paris,1
XDX,,Dax,,43.720268,-1.049650,Europe/Paris,1
GVA,,Geneva - Airport Bus Station,,46.230120,6.109288,Europe/Zurich,1
XGP,,Guingamp,,48.555841,-3.142547,Europe/Paris,1
XHD,,Hendaye,,43.351104,-1.783282,Europe/Paris,1
LYS,,Lyon - St. Exupéry Airport T1 Bus Stop,Transport : Tram Lyon Rhône Express.,45.719095,5.079539,Europe/Paris,1
XMX,,Morlaix,,48.577528,-3.832942,Europe/Paris,1
PUF,,Pau - Technopôle Héliparc,,43.319002,-0.362155,Europe/Paris,1
PGX,,Périgueux - Pôle Créavallée North,"Your stop is located at the exchange pole of Créavallée Nord. Transport : From the city center : Line "" Nord Sud Express "" direction "" Créavallée Nord"" (25 minutes), or line 11.",45.143110,0.698516,Europe/Paris,1
EAS,,San Sebastián,Attention : This is an underground station.,43.317131,-1.977381,Europe/Madrid,1
XSJ,,Saint-Jean-de-Luz,,43.386163,-1.660763,Europe/Paris,1
LDE,,Tarbes,Your stop is opposite the Lautréamont High School.,43.223340,0.047218,Europe/Paris,1
GFR,,Mont-Saint-Michel,,48.612091,-1.509184,Europe/Paris,1
AUF,,Auxerre - Train Station,,47.796629,3.584484,Europe/Paris,1
TLN,,Toulon - Bus Station,,43.127798,5.930755,Europe/Paris,1
NCY,,Annecy - Bus Station,,45.901670,6.121292,Europe/Paris,1
XLV,,Laval,"Attention: Line 50917 at 19h15 29 MAY 2024 OLYMPIC FLAME your stop is moved to  bus stop ""LAURIERS"" 48 avenue de Chanzy 53000 LAVAL",48.075944,-0.760562,Europe/Paris,1
CMX,,Chamonix - Bus Station,,45.917305,6.866800,Europe/Paris,1
XMK,,Montélimar,,44.559662,4.745270,Europe/Paris,1
ANG,,Angoulême - Bus Station,,45.653437,0.165591,Europe/Paris,1
XCD,,Chalon-sur-Saône - Train Station,,46.782053,4.844260,Europe/Paris,1
EBU,,Saint-Étienne - Rue Milleret Bus Stop,,45.442411,4.402973,Europe/Paris,1
BIJ,,Biarritz - Airport Bus Station,,43.472011,-1.532416,Europe/Paris,1
XMW,,Montauban Sud,,43.981774,1.331668,Europe/Paris,1
DLP,,Chessy South Bus Station,,48.865739,2.783049,Europe/Paris,1
BRC,,Briançon,,44.889300,6.632900,Europe/Paris,1
XFY,,Saint-Gervais-les-Bains - Le Fayet,,45.905941,6.701106,Europe/Paris,1
MIM,,Mimizan,,44.201892,-1.229402,Europe/Paris,1
XLU,,Lourdes,Your BlaBlaCar bus is at platform 2,43.100180,-0.041551,Europe/Paris,1
XBI,,Biscarrosse,,44.393668,-1.164642,Europe/Paris,1
COL,,Colmar,,48.073756,7.347799,Europe/Paris,1
EAP,,Basel Mulhouse Freiburg - Airport,"Boarding is in the French sector, level 2.",47.600746,7.531787,Europe/Zurich,1
XGB,,Grenoble - Oxford Bus Stop,,45.204565,5.701076,Europe/Paris,1
XSD,,Paris - St-Denis Université Bus Station,"Your BlaBlaCar bus stop is located on the place of the metro and bus stops, on rue Toussaint Louverture.",48.946262,2.363715,Europe/Paris,1
BRG,,Bruges,,51.195470,3.216475,Europe/Brussels,1
XVG,,Valence - Central Bus Station,,44.926842,4.892645,Europe/Paris,1
MAA,,Marseille Provence Airport,Your bus station is located between terminal 1 and terminal 2.,43.443573,5.219932,Europe/Paris,1
ANB,,Antibes - Stade 3 moulins,,43.603707,7.081270,Europe/Paris,1
LUX,,Luxembourg,The bus stops is near to the platform 4,49.599985,6.105255,Europe/Luxembourg,1
AMS,,Amsterdam - Schiphol Airport Bus Station,,52.306545,4.759699,Europe/Amsterdam,1
URT,,Utrecht,,52.090109,5.105177,Europe/Amsterdam,1
LHY,,The Hague,,52.079860,4.325712,Europe/Amsterdam,1
LVN,,Leuven,,50.884155,4.714259,Europe/Brussels,1
LIG,,Liège,Due to works on our actual stop our busses will stop in our new temporary stop at Rue des Guillemins 88 near the roundabout.,50.626258,5.566014,Europe/Brussels,1
HYP,,Hyères - Place Louis Versin,,43.117021,6.134157,Europe/Paris,1
CRX,,Châteauroux,,46.849141,1.709043,Europe/Paris,1
CAR,,Carcassonne,coach parking,43.215750,2.347978,Europe/Paris,1
TGR,,Turin - Vittorio Emanuele Bus Station,,45.070176,7.657810,Europe/Rome,1
XDP,,Dieppe,,49.922104,1.080672,Europe/Paris,1
LSN,,Lausanne,,46.536110,6.623749,Europe/Zurich,1
ANM,,Annemasse,,46.199805,6.239285,Europe/Paris,1
NRB,,Narbonne - Croix Sud,,43.165258,2.988403,Europe/Paris,1
TLA,,Toulouse - Blagnac Airport Bus Station,,43.630144,1.375458,Europe/Paris,1
XSN,,Saint-Nazaire,,47.285531,-2.212690,Europe/Paris,1
SDN,,Sedan,,49.695233,4.930713,Europe/Paris,1
CVM,,Charleville-Mézières,,49.768810,4.724886,Europe/Paris,1
XLZ,,Lannemezan,,43.114340,0.387811,Europe/Paris,1
STG,,Saint-Gaudens,,43.105087,0.728974,Europe/Paris,1
MDS,,Madrid - South Station,,40.394264,-3.677721,Europe/Madrid,1
BLB,,Bilbao,Your bus station is located underground.,43.261310,-2.949953,Europe/Madrid,1
ALI,,Lisbon - Sete Rios,Zoological Garden stop,38.742098,-9.168330,Europe/Lisbon,1
ALE,,Lisbon - Oriente,"Stop located at the back of the station, on the left, next to ""The Lemon Tree"" café, at the bus parking level.",38.767621,-9.101271,Europe/Lisbon,1
ADT,,Dortmund - Bus Station,,51.519502,7.459241,Europe/Berlin,1
ADU,,Düsseldorf - Bus Station,,51.222885,6.795559,Europe/Berlin,1
AKA,,Karlsruhe - Central Station South Side,,48.991578,8.400345,Europe/Berlin,1
ATT,,Stuttgart - Airport Bus Station,,48.691806,9.196691,Europe/Berlin,1
AFR,,Frankfurt - Main Bus Station,"ATTENTION: Your BlaBlaCar bus departs from stop area C ""Neuer Fernbusbahnhof"". Buses of the Marino company departs from bus stop area D ""Stuttgarter Straße"".",50.104489,8.662546,Europe/Berlin,1
ABD,,Breda,,51.596492,4.778302,Europe/Amsterdam,1
ADO,,Dover - Ferry,,51.127132,1.329641,Europe/London,1
CLS,,Cluses,,46.061484,6.582344,Europe/Paris,1
BOL,,Bologna - Bus Station,,44.503935,11.346888,Europe/Rome,1
MHM,,Mannheim - Bus Station,,49.478279,8.472825,Europe/Berlin,1
MSY,,Paris - Massy-Palaiseau Vilmorin Bus,,48.725759,2.256828,Europe/Paris,1
STE,,Saintes,"Your stop is located next to the carpooling area of Saintes - Brûlerie, facing the GIFI store.",45.755573,-0.652138,Europe/Paris,1
VNT,,Venice - Tronchetto Bus Station,,45.442127,12.308168,Europe/Rome,1
VNM,,Venice - Mestre Bus Station,,45.482412,12.233591,Europe/Rome,1
CRO,,Crolles - Le Rafour,,45.269610,5.893234,Europe/Paris,1
RCF,,Rochefort,Transport: Shuttles leave every 20 minutes for the city centre.,45.965083,-0.959447,Europe/Paris,1
CBH,,Capbreton - Hossegor,"Your stop is located near the train station square, boulevard des Cigales.",43.641131,-1.425719,Europe/Paris,1
LEN,,Lens,Your stop is located in the bus station opposite the Auguste Behal vocational school.,50.443685,2.823304,Europe/Paris,1
BDL,,Bandol,"Due to road services, the stop will be made at ""Gare routière"", 2 Place Lucien Artaud, 83150 Bandol",43.139340,5.766320,Europe/Paris,1
XET,,Étretat,Important:  Departures take place on Parking du Grand Val.,49.705056,0.208536,Europe/Paris,1
ULM,,Ulm - Bus Station,,48.425861,10.010417,Europe/Berlin,1
LSO,,Les Sables-d'Olonne,,46.500903,-1.781867,Europe/Paris,1
MSD,,Milan - San Donato Bus Station,,45.429300,9.256240,Europe/Rome,1
FRZ,,Florence - Villa Constanza Bus Station,,43.755205,11.172215,Europe/Rome,1
ARN,,Nantes - Airport - Arrivals Zone 1,,47.157885,-1.600683,Europe/Paris,1
COD,,Cordoba,,37.889359,-4.790200,Europe/Madrid,1
AGN,,Agen - Carpooling Stop,,44.166755,0.605773,Europe/Paris,1
TVC,,Tignes - Val Claret,,45.456962,6.901762,Europe/Paris,1
TRR,,Tarragona,,41.118240,1.244223,Europe/Madrid,1
ABY,,Barcelona - Airport Prat T1,"Attention: Departures are at terminal 1, level 0. At the departure point for international buses, platforms 1 to 9.",41.287683,2.072907,Europe/Madrid,1
CAT,,Castets,,43.877121,-1.143440,Europe/Paris,1
SLG,,Sallanches - Bus Station,,45.935501,6.636279,Europe/Paris,1
ACD,,Lisbon - Humberto Delgado Airport,Coach parking,38.768613,-9.128337,Europe/Lisbon,1
ACW,,Madrid - Barajas Airport T4,"Follow the signs to the Bus Terminal, located at the end of the T4 parking lot.",40.495210,-3.594961,Europe/Madrid,1
TLB,,Thonon-les-Bains,Attention new stop,46.369364,6.480503,Europe/Paris,1
ADC,,Voiron - Champfeuillet,Arrêt bus Champfeuillet Terminus - Niveau Parking P+R.,45.349944,5.567751,Europe/Paris,1
CLU,,Cluses - La Maladière,,46.049300,6.595100,Europe/Paris,1
MCA,,Murcia,,37.986203,-1.139043,Europe/Madrid,1
SAR,,Saarbrücken - Dudweilerstraße Bus Station,,49.241789,7.000133,Europe/Berlin,1
BRM,,Bremen - Bus Station,"Bus platform 8 - at high load Bus platform 6, 7 or 9.",53.084008,8.807204,Europe/Berlin,1
MUZ,,Munich - Bus Station,,48.142453,11.550066,Europe/Berlin,1
FFA,,Frankfurt - Airport Bus Station,,50.052761,8.577535,Europe/Berlin,1
NUR,,Nuremberg - Bus Station,Central bus station at Adcom-Center (stops 1-9).,49.447800,11.085988,Europe/Berlin,1
HAM,,Hamburg - Bus Station,,53.552107,10.011099,Europe/Berlin,1
EIN,,Eindhoven,,51.445634,5.480959,Europe/Amsterdam,1
LVD,,Le Lavandou,,43.138180,6.364215,Europe/Paris,1
EPL,,Epinal,ATTENTION: New Bus Station stop Quai A,48.177759,6.442057,Europe/Paris,1
BGM,,Bergamo - PIazzale Marconi Bus Station,,45.691614,9.676209,Europe/Rome,1
LUG,,Lugano,The stop is located in the Bus parking lot opposite the soccer pitches.,46.023149,8.963815,Europe/Paris,1
ESC,,Esch-sur-Alzette,,49.507720,5.992280,Europe/Luxembourg,1
BSA,,Brescia - North Bus Station,,45.532978,10.215109,Europe/Rome,1
ESS,,Essen - Bus Station,,51.450257,7.014914,Europe/Berlin,1
XXA,,Aachen - Henricistraße,,50.783577,6.072511,Europe/Berlin,1
BOO,,Bonn,,50.712675,7.120416,Europe/Berlin,1
CHP,,Champigny-sur-Marne,,48.812696,2.532481,Europe/Paris,1
VSL,,Versailles,,48.790505,2.118242,Europe/Paris,1
NAQ,,Nancy - Quai Sainte-Catherine,,48.694817,6.190492,Europe/Paris,1
FEC,,Fécamp,,49.759237,0.375193,Europe/Paris,1
CSM,,Cavalaire-sur-Mer,Accès : Please note that the stop is staggered depending on the direction of arrival of the bus. Please be careful.,43.172300,6.529489,Europe/Paris,1
SMX,,Sainte-Maxime,,43.315215,6.633220,Europe/Paris,1
ROZ,,Rouen - Zénith Parc Expo,,49.392075,1.058798,Europe/Paris,1
AOS,,Aosta,,45.735249,7.324412,Europe/Rome,1
PDG,,Port Grimaud,,43.275377,6.578922,Europe/Paris,1
LON,,Lorient Lanester,,47.777878,-3.342159,Europe/Paris,1
QUE,,Quimper Est (Le Rouillen),,47.999198,-4.052045,Europe/Paris,1
CAG,,Calais - Port,,50.973154,1.878032,Europe/Paris,1
PDL,,Paris - Pont de Levallois,Access: Metro 3: Our stop is 1 min walk from the terminus of line 3 (Pont de Levallois - Bécon).,48.897742,2.281255,Europe/Paris,1
TRC,,Tourcoing,,50.721390,3.163059,Europe/Paris,1
ZAG,,Zagreb,"Departures are from platform 505. On the display screen, your bus is called Comuto Pro",45.803417,15.992278,Europe/Zagreb,1
SRO,,Sanremo,,43.814230,7.771806,Europe/Rome,1
PET,,Pornichet,Bus Station,47.260833,-2.335360,Europe/Paris,1
VBB,,Vieux-Boucau-les Bains,,43.789530,-1.400847,Europe/Paris,1
MEM,,Moliets-et-Maa,,43.848734,-1.358110,Europe/Paris,1
POR,,Porto - TIC Campanhã,,41.151862,-8.582442,Europe/Lisbon,1
ABR,,Braga,,41.556130,-8.425170,Europe/Lisbon,1
ROM,,Rome - Tiburtina,,41.909530,12.528271,Europe/Rome,1
VRN,,Verona,,45.430902,10.977553,Europe/Rome,1
TST,,Trieste,,45.657031,13.770933,Europe/Rome,1
CRM,,Courmayeur,,45.791332,6.970461,Europe/Paris,1
XDI,,Dijon,Slot 17,47.324051,5.027794,Europe/Paris,1
XAU,,Auray,North car park footbridge,47.680947,-2.999566,Europe/Paris,1
LBY,,La Baule,,47.288383,-2.391656,Europe/Paris,1
CRN,,Carnac,,47.000000,-3.000000,Europe/Paris,1
QON,,Quiberon,,47.485969,-3.119067,Europe/Paris,1
RSY,,La Roche-sur-Yon,,46.673121,-1.435259,Europe/Paris,1
AOV,,Oviedo,,43.369175,-5.850884,Europe/Paris,1
ALC,,A Coruña,,43.353256,-8.405308,Europe/Paris,1
ASA,,Santiago de Compostela - Bus Station,,42.869917,-8.544112,Europe/Paris,1
AVG,,Vigo - Bus Station,,42.234620,-8.713703,Europe/Paris,1
ABS,,Valencia - Bus Station,Platform 41,39.480533,-0.387409,Europe/Madrid,1
ACX,,Zaragoza,,41.659501,-0.911349,Europe/Madrid,1
LJU,,Ljubljana,Platform 21 / 22,46.057840,14.511436,Europe/Ljubljana,1
ARR,,Arras,,50.297778,2.779558,Europe/Paris,1
ABT,,Alicante,Alicante's Bus Station,38.337611,-0.491490,Europe/Paris,1
MIR,,Mirandela,,41.481265,-7.180843,Europe/Lisbon,1
AVR,,Vila Real,,41.299746,-7.749872,Europe/Lisbon,1
AAM,,Amarante,,41.266060,-8.072211,Europe/Lisbon,1
SEL,,Basel,,47.546101,7.589041,Europe/Zurich,1
ZRC,,Zürich,,47.381190,8.537474,Europe/Zurich,1
XMF,,Montbéliard,,47.508948,6.801954,Europe/Paris,1
ABW,,Benidorm - Bus Station,Platform 27,38.550283,-0.125306,Europe/Madrid,1
ABZ,,Castellon,,39.988933,-0.051424,Europe/Madrid,1
AVA,,Valladolid,"The Valladolid bus station is open from 05:30 to 23:30 Monday to Friday, and from 05:30 to 00:30 on Saturdays, Sundays and public holidays. Outside these hours, buses stop outside the station.",41.641141,-4.732084,Europe/Madrid,1
GRN,,Groningen,,53.211663,6.566262,Europe/Amsterdam,1
AAY,,La Spezia,,44.113780,9.847470,Europe/Rome,1
ARK,,Milan Bergamo - Airport,,45.665750,9.697250,Europe/Rome,1
CAH,,Cahors,,44.451242,1.438392,Europe/Paris,1
GAM,,Garorock - Marmande,,44.502610,0.168189,Europe/Paris,1
CLI,,Clisson - Hellfest,,47.110840,-1.293335,Europe/Paris,1
SLZ,,Salzburg P&R South,,47.769222,13.070997,Europe/Vienna,1
BSV,,Bratislava,,48.146782,17.128777,Europe/Bratislava,1
VIE,,Vienna,Platform No. 2,48.190755,16.414215,Europe/Vienna,1
PIL,,Pilsen - Husova Central Bus Station,,49.746331,13.362978,Europe/Prague,1
PRF,,Prague - Florenc Main Bus Terminal,,50.089361,14.440614,Europe/Prague,1
SQT,,Saint-Quentin,,49.840454,3.297612,Europe/Paris,1
HEI,,Heidelberg,,49.406122,8.673125,Europe/Berlin,1
NAS,,Naples,,40.851143,14.274977,Europe/Rome,1
DIF,,Differdange,,49.520709,5.899611,Europe/Luxembourg,1
STB,,Setúbal,,38.525805,-8.889506,Europe/Lisbon,1
SIN,,Sintra,,38.802412,-9.377117,Europe/Lisbon,1
CAS,,Cascais,,38.737521,-9.394960,Europe/Lisbon,1
BUD,,Budapest - Népliget,Platform 5,47.474982,19.098993,Europe/Budapest,1
GAP,,Gap,"Your bus stop is in front of SNCF train station, Platform n°3",44.563309,6.085823,Europe/Paris,1
MGE,,Montdauphin - Guillestre,,44.674680,6.615902,Europe/Paris,1
SIS,,Sisteron,,44.190297,5.946206,Europe/Paris,1
MAQ,,Manosque,,43.823244,5.793073,Europe/Paris,1
RDZ,,Rodez,,44.362346,2.582118,Europe/Paris,1
LBI,,Albi,,43.917115,2.117423,Europe/Paris,1
ACC,,Badajoz,,38.866574,-6.974121,Europe/Madrid,1
CHS,,Charleroi - Sud,,50.403762,4.437956,Europe/Brussels,1
BUK,,Budapest - Kelenföld,Platform 2,47.463490,19.022745,Europe/Budapest,1
ABU,,Burgos,,42.338250,-3.701233,Europe/Madrid,1
ACA,,Caceres,,39.460173,-6.382434,Europe/Madrid,1
AGR,,Ciudad Rodrigo,,40.601641,-6.531847,Europe/Madrid,1
AHU,,Huelva,,37.257467,-6.957569,Europe/Madrid,1
AME,,Merida,,38.914714,-6.357817,Europe/Madrid,1
ASN,,Salamanca,,40.970416,-5.674880,Europe/Madrid,1
ASE,,Sevilla Plaza de Armas,,37.391871,-6.003953,Europe/Madrid,1
VTR,,Vitoria,,42.859118,-2.684330,Europe/Madrid,1
LTB,,Antwerp - Luchtbal,,51.263169,4.418152,Europe/Brussels,1
XLL,,Lloret de Mar,,41.700923,2.842141,Europe/Madrid,1
MST,,Maastricht,,50.852501,5.705737,Europe/Amsterdam,1
ALU,,Albufeira,,37.091650,-8.255178,Europe/Lisbon,1
CSO,,Castelo Branco,,39.818722,-7.489639,Europe/Lisbon,1
ACO,,Coimbra,,40.220705,-8.439670,Europe/Lisbon,1
AFA,,Faro,"Stop located on the Abu São Ibn Harune promenade, behind the Próximo bus terminal, at the bus parking level.",37.016853,-7.938175,Europe/Lisbon,1
AFT,,Fatima,,39.627693,-8.670589,Europe/Lisbon,1
AGA,,Guarda,,40.534367,-7.263578,Europe/Lisbon,1
PAT,,Porto - Airport,,41.235425,-8.669634,Europe/Lisbon,1
ALA,,Lagos,Lagos Bus Terminal – Platform No. 4,37.107739,-8.676114,Europe/Lisbon,1
ALR,,Leiria,,39.746657,-8.804473,Europe/Lisbon,1
APL,,Ponte de Lima,Platform n°22,41.759944,-8.579915,Europe/Lisbon,1
APO,,Portimao,,37.148554,-8.536107,Europe/Lisbon,1
STM,,Santarem,,39.236210,-8.687715,Europe/Lisbon,1
VLF,,Vilar Formoso,,40.607391,-6.826986,Europe/Lisbon,1
AVS,,Viseu,,40.665512,-7.915458,Europe/Lisbon,1
ADA,,Faro Airport - Parking P5,Stop located in the P5 - Parking Bus,37.022214,-7.968608,Europe/Lisbon,1
BEP,,Bellegarde - Vouvray,,46.115322,5.794642,Europe/Paris,1
XBB,,Bourg-en-Bresse,,46.199344,5.215359,Europe/Paris,1
XGS,,Givors (Lyon Sud),"The stop is located opposite the charging stations, at the blue ""Rive de Gier, St Etienne"" freeway sign.",45.590260,4.770591,Europe/Paris,1
BNE,,Bern,,46.963875,7.434011,Europe/Zurich,1
VAA,,Valença,Platform 1&2,42.022503,-8.642618,Europe/Lisbon,1
SCQ,,Santiago de Compostela Airport,,42.892814,-8.421718,Europe/Madrid,1
XBL,,Blois,,47.614118,1.323893,Europe/Paris,1
BRN,,Brussels - North Train Station,"The stop is located on boulevard Albert II, Zone A",50.861855,4.358507,Europe/Brussels,1
LAE,,Labenne,,43.587477,-1.429311,Europe/Paris,1
ONS,,Ondres-Océan,,43.563623,-1.445952,Europe/Paris,1
XLN,,Lannion,Kermaria bus station,48.726772,-3.455856,Europe/Paris,1
PGC,,Perros-Guirec,,48.807630,-3.441578,Europe/Paris,1
PAL,,Paimpol,SNCF train station bus stop,48.777234,-3.046423,Europe/Paris,1
LPV,,Le Puy-en-Velay,Your boarding platform is no. 4,45.044114,3.893895,Europe/Paris,1
